customer_id,region,age,household_size,tenure_months,contract_type,internet_service,monthly_charges,autopay,paperless_billing,streaming_services,support_tickets,late_payments,satisfaction_score,churned
CUST-00085,Midwest,71,4,46,month-to-month,dsl,69.45,1,0,2,1,0,7.0,1
CUST-00086,Midwest,77,5,51,month-to-month,fiber,103.37,0,1,3,0,1,7.1,0
CUST-00087,West,44,2,8,month-to-month,fiber,117.72,0,1,1,1,0,6.8,0
CUST-00088,South,71,3,23,month-to-month,none,66.25,1,0,1,1,0,6.4,1
CUST-00089,Northeast,69,5,56,month-to-month,dsl,92.81,1,1,2,2,0,6.6,0
CUST-00090,Northeast,34,2,60,month-to-month,fiber,113.42,1,0,1,0,3,7.1,0
CUST-00091,West,45,4,32,one-year,fiber,115.27,1,1,4,0,1,8.6,0
CUST-00092,Midwest,25,1,58,two-year,none,77.37,1,1,3,0,0,8.0,0
CUST-00093,Midwest,18,5,61,one-year,dsl,126.03,1,0,4,3,0,4.6,0
CUST-00094,South,55,1,28,month-to-month,dsl,90.5,0,1,1,1,2,5.6,1
CUST-00095,Northeast,18,4,65,month-to-month,dsl,70.48,1,1,0,0,1,8.9,0
CUST-00096,West,37,5,21,two-year,none,66.43,1,0,0,0,1,7.4,0
CUST-00097,West,28,1,18,month-to-month,fiber,114.51,1,0,4,4,1,6.1,1
CUST-00098,West,33,3,50,month-to-month,dsl,105.84,1,1,4,3,0,5.8,0
CUST-00099,Midwest,32,5,46,two-year,fiber,107.9,1,0,3,0,0,9.2,0
CUST-00100,Midwest,50,1,11,two-year,dsl,89.45,0,1,2,2,0,7.2,0
CUST-00101,South,64,2,60,month-to-month,none,75.75,1,1,1,0,1,6.5,0
CUST-00102,South,50,5,15,one-year,none,55.94,1,0,3,0,0,7.4,0
CUST-00103,Northeast,63,1,58,month-to-month,fiber,95.52,1,0,2,2,1,5.4,0
CUST-00104,Northeast,50,5,1,one-year,dsl,61.24,0,0,3,0,0,9.0,0
CUST-00105,South,59,4,58,month-to-month,none,48.0,0,0,0,1,1,5.9,1
CUST-00106,South,35,2,57,month-to-month,none,75.08,1,1,2,1,0,7.2,0
CUST-00107,South,37,2,57,one-year,dsl,84.68,1,1,3,3,1,6.5,0
CUST-00108,South,27,2,48,month-to-month,fiber,130.84,1,0,3,1,0,7.7,0
CUST-00109,Northeast,49,3,34,one-year,fiber,91.68,0,1,0,2,0,6.7,0
CUST-00110,Midwest,29,5,51,month-to-month,none,30.16,1,1,0,1,1,5.9,0
CUST-00111,South,55,4,20,two-year,dsl,118.75,1,0,4,2,1,6.0,0
CUST-00112,Midwest,61,1,57,one-year,dsl,85.71,0,1,1,4,0,5.1,1
CUST-00113,Midwest,71,3,41,month-to-month,dsl,79.81,0,0,2,1,0,4.9,0
CUST-00114,South,46,2,34,one-year,fiber,97.67,1,1,3,3,0,7.2,0
CUST-00115,Midwest,77,3,37,month-to-month,fiber,75.72,0,0,2,4,1,5.9,0
CUST-00116,South,46,3,41,month-to-month,dsl,101.87,1,1,4,1,0,6.6,0
CUST-00117,South,60,3,3,month-to-month,fiber,124.2,1,1,4,0,1,9.0,1
CUST-00118,Midwest,76,4,11,two-year,dsl,69.27,1,0,1,0,1,8.1,0
CUST-00119,Midwest,49,2,18,one-year,dsl,64.47,0,1,0,1,1,8.2,0
CUST-00120,West,73,2,9,two-year,dsl,100.99,1,0,4,0,0,9.1,0
CUST-00121,Northeast,52,1,32,two-year,fiber,129.38,1,0,3,0,1,8.1,0
CUST-00122,Northeast,21,2,49,two-year,dsl,113.38,1,0,3,2,1,5.3,0
CUST-00123,Northeast,47,5,48,month-to-month,fiber,117.72,1,1,2,4,1,5.8,0
CUST-00124,Northeast,65,4,34,two-year,fiber,135.31,1,1,2,2,2,7.3,0
CUST-00125,West,56,4,62,one-year,fiber,96.85,1,1,0,1,0,7.3,0
CUST-00126,Northeast,32,5,41,month-to-month,fiber,121.98,1,1,2,5,1,5.2,0
CUST-00127,South,35,3,6,one-year,none,72.73,1,1,2,1,0,7.9,0
CUST-00128,South,61,1,56,month-to-month,none,48.0,0,1,0,0,1,6.7,1
CUST-00129,West,65,4,42,month-to-month,fiber,125.71,0,1,3,1,1,7.0,0
CUST-00130,Midwest,28,1,46,month-to-month,dsl,77.69,1,1,3,2,0,6.5,0
CUST-00131,Northeast,45,1,41,month-to-month,fiber,139.16,0,1,4,3,0,6.5,1
CUST-00132,West,26,4,40,month-to-month,dsl,69.76,1,1,0,2,0,6.5,1
CUST-00133,West,35,5,7,two-year,none,78.01,1,0,1,0,1,7.6,0
CUST-00134,Midwest,74,2,41,one-year,dsl,89.98,1,1,2,0,1,6.7,0
CUST-00135,South,19,2,58,month-to-month,fiber,119.52,0,1,4,0,2,9.3,1
CUST-00136,West,51,4,22,month-to-month,fiber,109.59,1,1,1,2,0,6.6,0
CUST-00137,Northeast,45,2,44,month-to-month,fiber,122.81,0,0,4,1,0,6.3,0
CUST-00138,Northeast,38,1,3,month-to-month,none,101.67,1,0,4,0,0,8.6,0
CUST-00139,West,71,2,26,one-year,dsl,62.22,1,1,0,6,2,4.8,1
CUST-00140,Northeast,71,5,32,month-to-month,fiber,92.7,1,1,1,1,0,8.0,0
CUST-00141,Northeast,19,4,71,one-year,fiber,91.48,1,1,1,1,0,8.5,0
CUST-00142,Northeast,35,2,16,one-year,none,78.82,1,1,2,0,1,9.2,0
CUST-00143,South,32,5,20,one-year,fiber,107.31,0,1,4,0,0,7.2,0
CUST-00144,Midwest,21,2,30,two-year,dsl,104.0,0,1,1,1,0,7.8,0
CUST-00145,South,48,4,72,month-to-month,dsl,88.4,0,0,3,3,1,4.5,0
CUST-00146,South,41,1,62,two-year,fiber,108.68,1,0,0,2,0,7.1,0
CUST-00147,Northeast,41,5,3,one-year,fiber,91.87,0,1,2,1,0,8.3,0
CUST-00148,South,60,2,17,one-year,fiber,97.28,0,0,1,4,2,4.7,1
CUST-00149,West,76,3,60,one-year,fiber,107.81,0,1,4,2,1,8.9,0
CUST-00150,South,57,3,5,two-year,dsl,102.85,1,1,3,3,1,6.6,1
CUST-00151,South,55,3,62,two-year,dsl,68.36,0,0,1,0,0,6.6,0
CUST-00152,West,46,3,21,month-to-month,fiber,78.32,1,1,3,0,1,8.5,0
CUST-00153,Northeast,42,4,67,one-year,dsl,65.57,0,0,1,0,1,9.9,0
CUST-00154,Northeast,48,5,22,one-year,fiber,115.33,1,1,2,1,0,5.9,0
CUST-00155,West,33,2,32,month-to-month,fiber,95.97,0,0,2,0,1,8.2,0
CUST-00156,South,49,4,48,two-year,dsl,106.66,1,1,4,3,0,5.9,0
CUST-00157,Northeast,40,3,10,month-to-month,dsl,75.89,0,1,1,0,0,7.8,0
CUST-00158,South,40,3,41,one-year,dsl,45.9,1,1,0,1,2,6.2,0
CUST-00159,Northeast,70,3,37,month-to-month,fiber,109.11,1,0,0,2,0,7.8,0
CUST-00160,South,22,5,57,month-to-month,dsl,111.38,0,0,4,2,1,6.2,0
CUST-00161,Northeast,67,4,72,two-year,fiber,92.51,1,1,1,2,0,8.4,0
CUST-00162,Midwest,27,1,48,month-to-month,none,69.77,0,0,0,1,0,6.4,1
CUST-00163,West,40,1,30,month-to-month,dsl,89.02,1,0,2,3,0,6.3,0
CUST-00164,Midwest,61,4,30,month-to-month,none,72.26,1,1,4,2,0,4.9,1
CUST-00165,Northeast,72,3,31,month-to-month,fiber,135.44,0,0,4,0,1,9.9,0
CUST-00166,West,66,3,59,one-year,fiber,119.5,1,0,4,0,0,10.0,0
CUST-00167,Midwest,61,5,24,two-year,dsl,95.42,0,0,3,0,0,10.0,0
CUST-00168,West,41,2,13,month-to-month,fiber,112.12,1,1,4,1,0,8.9,0
CUST-00169,West,39,2,25,one-year,dsl,100.8,0,1,3,2,0,6.6,0
CUST-00170,South,37,4,2,month-to-month,fiber,108.25,1,1,0,2,0,7.0,0
CUST-00171,West,68,4,8,one-year,none,68.39,0,1,2,0,0,8.5,0
CUST-00172,West,54,5,7,month-to-month,fiber,104.87,1,1,2,2,0,7.3,0
CUST-00173,Midwest,21,5,56,month-to-month,none,90.44,0,1,2,4,0,4.7,0
CUST-00174,Midwest,19,2,53,month-to-month,fiber,133.87,1,0,4,0,0,7.1,0
CUST-00175,South,25,1,51,one-year,fiber,133.01,0,1,4,1,0,6.4,0
CUST-00176,West,52,4,34,month-to-month,dsl,96.43,0,0,2,1,0,6.9,0
CUST-00177,Northeast,76,1,52,month-to-month,fiber,87.4,0,1,0,1,0,7.0,0
CUST-00178,South,46,3,12,one-year,none,70.35,1,1,1,1,0,7.5,0
CUST-00179,Northeast,32,2,65,one-year,none,76.37,0,1,0,2,1,7.1,0
CUST-00180,Northeast,44,2,37,month-to-month,none,69.21,1,1,2,1,0,6.3,0
CUST-00181,West,60,5,68,one-year,none,80.77,1,1,1,4,0,5.5,0
CUST-00182,Midwest,18,2,11,two-year,dsl,107.18,0,1,0,5,1,4.5,0
CUST-00183,South,57,5,36,month-to-month,fiber,94.15,0,1,0,1,0,8.0,0
CUST-00184,West,74,2,51,one-year,dsl,73.31,0,1,2,1,0,7.8,0
CUST-00185,Northeast,74,2,36,month-to-month,fiber,82.96,0,1,0,2,0,7.1,1
CUST-00186,West,28,2,33,one-year,dsl,78.77,1,1,0,0,1,7.4,0
CUST-00187,South,76,4,12,month-to-month,fiber,89.27,1,0,1,0,0,8.1,0
CUST-00188,Northeast,24,4,28,one-year,dsl,75.51,0,0,3,1,0,7.0,0
CUST-00189,South,46,1,18,month-to-month,fiber,97.4,0,1,3,0,3,6.4,1
CUST-00190,South,41,2,22,month-to-month,fiber,84.67,1,0,1,1,0,7.9,0
CUST-00191,West,58,5,50,two-year,fiber,133.68,0,0,3,0,1,7.4,0
CUST-00192,West,64,3,46,month-to-month,fiber,90.17,1,0,0,1,0,7.5,0
CUST-00193,Northeast,54,1,44,two-year,fiber,134.02,1,1,3,2,1,6.9,0
CUST-00194,South,63,2,27,two-year,fiber,85.36,0,1,0,1,2,6.1,1
CUST-00195,South,76,3,70,two-year,fiber,89.71,1,1,0,1,1,7.1,0
CUST-00196,Midwest,48,2,7,month-to-month,dsl,113.63,1,1,4,0,1,7.3,0
CUST-00197,Midwest,52,3,25,one-year,fiber,78.54,1,1,2,1,2,7.1,0
CUST-00198,West,50,3,9,month-to-month,dsl,115.38,1,1,2,3,2,4.3,1
CUST-00199,South,34,3,25,month-to-month,fiber,100.75,1,1,1,1,2,6.4,1
CUST-00200,South,45,3,70,two-year,dsl,102.96,1,1,3,0,0,9.3,0
CUST-00201,South,51,1,27,one-year,fiber,109.65,1,1,3,0,0,8.8,1
CUST-00202,Northeast,19,3,66,month-to-month,dsl,105.26,1,1,3,1,1,6.9,0
CUST-00203,South,41,1,36,month-to-month,dsl,89.06,1,0,1,0,0,7.0,0
CUST-00204,Northeast,34,4,51,one-year,dsl,92.93,1,0,3,2,0,7.4,0
CUST-00205,West,57,3,33,one-year,fiber,91.97,0,1,3,2,0,8.0,0
CUST-00206,South,41,4,20,month-to-month,fiber,87.55,1,1,2,1,1,8.7,0
CUST-00207,South,26,2,56,two-year,fiber,88.48,0,1,1,1,0,7.2,0
CUST-00208,Midwest,51,2,70,month-to-month,fiber,118.11,0,0,3,2,1,5.5,1
CUST-00209,Midwest,45,4,19,month-to-month,fiber,99.06,0,1,2,0,0,8.3,0
CUST-00210,West,57,1,57,one-year,dsl,67.35,0,1,1,3,0,6.9,0
CUST-00211,Midwest,62,3,19,two-year,fiber,136.75,1,1,4,0,2,8.0,0
CUST-00212,West,77,2,52,month-to-month,dsl,83.56,0,1,2,1,0,6.7,0
CUST-00213,West,55,2,57,month-to-month,fiber,99.52,1,1,2,1,0,6.4,0
CUST-00214,Northeast,48,3,33,month-to-month,fiber,114.13,1,1,1,0,0,8.7,0
CUST-00215,West,34,3,54,two-year,fiber,123.96,0,1,3,1,0,8.5,0
CUST-00216,West,58,2,20,month-to-month,fiber,101.81,0,1,4,0,0,7.5,1
CUST-00217,Midwest,42,1,6,month-to-month,dsl,77.36,1,1,3,0,0,9.6,0
CUST-00218,Northeast,75,3,7,two-year,dsl,72.02,1,1,2,0,1,8.4,0
CUST-00219,Northeast,59,2,33,month-to-month,dsl,92.35,0,0,3,0,0,7.7,0
CUST-00220,Northeast,34,1,65,one-year,fiber,119.11,0,1,1,0,1,6.9,0
CUST-00221,Midwest,74,5,10,month-to-month,fiber,110.39,0,1,0,1,1,5.5,1
CUST-00222,Midwest,45,3,33,one-year,dsl,106.85,0,0,3,1,1,6.9,0
CUST-00223,South,55,1,51,month-to-month,fiber,120.54,0,1,0,3,2,6.0,0
CUST-00224,Midwest,61,2,15,month-to-month,fiber,95.3,1,0,0,0,0,10.0,0
CUST-00225,South,57,1,52,month-to-month,dsl,106.56,0,0,3,0,1,7.7,0
CUST-00226,South,51,5,23,one-year,fiber,96.44,0,1,2,0,0,8.7,0
CUST-00227,West,61,3,59,one-year,fiber,89.55,1,0,4,5,1,4.7,0
CUST-00228,South,71,5,42,month-to-month,fiber,114.26,1,1,4,2,0,7.2,0
CUST-00229,Midwest,27,2,40,month-to-month,dsl,76.02,1,1,0,3,0,6.5,0
CUST-00230,West,51,5,13,two-year,fiber,158.77,1,1,3,2,0,6.5,0
CUST-00231,West,54,5,34,month-to-month,dsl,83.88,1,1,1,1,0,8.8,0
CUST-00232,Midwest,73,4,62,month-to-month,fiber,100.05,0,0,3,2,0,6.6,0
CUST-00233,West,52,3,2,one-year,fiber,99.03,0,1,0,0,1,8.9,1
CUST-00234,South,26,5,55,month-to-month,fiber,95.3,1,0,2,0,1,7.9,0
CUST-00235,South,63,3,36,month-to-month,dsl,91.58,1,1,3,0,1,7.6,0
CUST-00236,West,66,1,52,month-to-month,fiber,123.17,1,1,2,2,0,6.3,0
CUST-00237,West,68,1,48,month-to-month,dsl,68.69,0,0,2,0,0,7.5,0
CUST-00238,Northeast,30,3,32,month-to-month,fiber,107.88,1,1,0,0,1,9.2,0
CUST-00239,Northeast,27,2,23,one-year,fiber,110.68,0,1,0,2,0,6.3,0
CUST-00240,Northeast,20,4,46,one-year,fiber,124.7,1,1,3,0,1,8.8,0
CUST-00241,West,43,3,11,month-to-month,fiber,135.56,1,0,2,0,0,7.8,0
CUST-00242,Northeast,24,3,43,two-year,fiber,96.5,0,1,2,0,0,8.7,0
CUST-00243,West,63,2,7,month-to-month,dsl,87.97,0,0,1,0,0,8.0,0
CUST-00244,Northeast,52,2,47,one-year,none,64.04,1,1,0,1,1,6.5,0
CUST-00245,Northeast,36,2,46,month-to-month,dsl,86.06,1,1,3,1,0,7.7,0
CUST-00246,Northeast,35,4,7,one-year,dsl,64.5,0,1,0,1,0,9.6,0
CUST-00247,West,44,4,55,month-to-month,dsl,120.32,1,1,3,1,2,7.3,0
CUST-00248,South,26,5,30,month-to-month,dsl,96.32,0,1,0,1,0,8.1,0
CUST-00249,West,42,4,57,month-to-month,fiber,137.88,0,1,4,0,1,7.9,1
CUST-00250,Midwest,55,3,3,month-to-month,dsl,81.05,0,1,1,0,0,8.6,0
CUST-00251,Northeast,45,4,13,month-to-month,dsl,104.32,1,1,4,2,0,6.4,1
CUST-00252,Northeast,47,2,36,one-year,fiber,80.44,0,0,0,0,0,8.1,0
CUST-00253,Northeast,67,5,14,two-year,none,102.72,1,1,2,1,0,8.7,0
CUST-00254,Northeast,40,1,24,month-to-month,dsl,106.22,0,0,2,0,0,7.5,1
CUST-00255,West,25,5,48,two-year,fiber,101.54,1,1,0,1,0,8.9,0
CUST-00256,Midwest,50,1,11,one-year,none,83.99,1,1,2,1,0,7.0,0
CUST-00257,Northeast,28,5,49,two-year,fiber,90.69,0,1,1,2,1,6.9,0
CUST-00258,South,69,4,8,one-year,fiber,121.44,0,1,2,0,0,8.0,0
CUST-00259,Northeast,27,3,13,one-year,fiber,112.99,0,0,1,1,3,9.3,0
CUST-00260,Midwest,61,3,43,month-to-month,dsl,73.21,0,0,0,1,1,6.7,0
CUST-00261,Northeast,45,2,58,one-year,fiber,92.45,1,1,3,1,1,8.0,0
CUST-00262,Northeast,47,2,13,two-year,none,95.79,1,1,2,0,0,6.7,0
CUST-00263,Midwest,71,2,22,month-to-month,fiber,106.44,1,1,4,1,0,6.5,0
CUST-00264,West,67,5,67,month-to-month,fiber,119.62,1,1,4,0,1,8.1,0
CUST-00265,West,28,2,72,month-to-month,dsl,70.36,1,0,1,1,0,7.3,0
CUST-00266,West,69,3,42,two-year,fiber,58.31,0,0,1,0,0,8.0,0
CUST-00267,Midwest,37,4,33,month-to-month,dsl,105.05,0,1,4,2,2,6.0,0
CUST-00268,South,40,4,25,one-year,fiber,137.47,0,1,1,5,0,5.3,1
CUST-00269,West,67,2,45,two-year,none,75.69,1,0,0,1,1,6.1,0
CUST-00270,Midwest,26,5,43,two-year,dsl,131.69,0,1,2,2,0,7.0,0
CUST-00271,West,42,1,22,month-to-month,fiber,119.98,1,1,4,2,0,6.8,0
CUST-00272,West,24,4,2,one-year,fiber,101.13,0,1,1,2,1,7.8,0
CUST-00273,West,51,1,11,two-year,fiber,113.29,1,1,3,1,0,8.7,0
CUST-00274,Midwest,56,5,70,month-to-month,none,71.83,0,0,1,0,0,5.3,0
CUST-00275,West,52,1,31,one-year,dsl,90.23,1,1,1,5,0,5.0,1
CUST-00276,South,74,5,35,month-to-month,fiber,130.92,0,0,2,2,1,8.1,1
CUST-00277,Northeast,60,4,34,one-year,fiber,79.54,0,1,0,4,0,6.8,0
CUST-00278,Northeast,20,1,57,month-to-month,dsl,81.81,0,0,1,3,1,6.4,1
CUST-00279,Midwest,30,4,5,month-to-month,fiber,111.45,1,0,1,4,0,5.4,1
CUST-00280,Midwest,47,2,6,month-to-month,dsl,120.53,1,0,4,0,0,8.8,0
CUST-00281,South,45,5,20,month-to-month,dsl,45.75,0,0,1,0,1,6.2,0
CUST-00282,South,29,5,36,month-to-month,fiber,89.25,1,1,4,1,0,7.0,0
CUST-00283,Northeast,49,5,49,one-year,fiber,92.74,1,0,0,0,1,8.5,0
CUST-00284,West,49,4,36,month-to-month,fiber,124.25,1,1,2,1,1,7.8,1
CUST-00285,Northeast,45,5,32,month-to-month,fiber,81.17,1,1,1,2,0,7.2,1
CUST-00286,Northeast,69,3,68,one-year,none,82.97,0,0,2,1,0,8.0,0
CUST-00287,Northeast,40,1,12,one-year,dsl,128.42,1,1,3,3,0,6.9,0
CUST-00288,Northeast,65,5,42,month-to-month,dsl,101.44,1,0,4,2,0,6.7,0
CUST-00289,West,59,1,40,two-year,dsl,91.85,1,1,3,0,2,9.2,0
CUST-00290,South,76,4,35,month-to-month,fiber,115.64,0,0,2,2,3,7.7,1
CUST-00291,West,56,3,59,two-year,dsl,90.16,1,1,2,0,0,8.4,0
CUST-00292,South,47,2,20,month-to-month,fiber,123.75,0,0,4,1,1,6.0,1
CUST-00293,West,18,4,69,one-year,fiber,109.88,1,0,4,2,0,7.1,0
CUST-00294,Midwest,57,2,24,two-year,fiber,108.9,0,0,3,1,0,7.7,0
CUST-00295,Northeast,49,5,40,two-year,dsl,52.24,0,1,0,2,0,5.1,0
CUST-00296,Northeast,71,5,38,one-year,dsl,83.72,1,1,1,0,0,9.7,0
CUST-00297,Northeast,53,5,62,one-year,fiber,78.89,1,1,1,2,0,6.8,0
CUST-00298,Midwest,59,5,32,month-to-month,dsl,71.49,0,1,1,1,0,6.6,0
CUST-00299,Northeast,72,5,21,one-year,fiber,100.29,1,0,4,1,0,7.6,0
CUST-00300,West,75,5,2,one-year,fiber,81.16,1,1,0,4,0,5.8,0
CUST-00301,South,31,5,27,two-year,fiber,122.78,1,1,4,3,0,6.9,0
CUST-00302,West,32,4,60,month-to-month,dsl,87.1,1,1,4,0,0,8.8,0
CUST-00303,Northeast,65,4,1,month-to-month,fiber,105.23,0,1,2,1,0,8.4,0
CUST-00304,West,26,1,65,one-year,fiber,94.97,0,1,1,1,0,8.4,0
CUST-00305,West,67,1,40,month-to-month,fiber,80.63,1,0,1,3,1,5.4,1
CUST-00306,Midwest,26,2,11,month-to-month,dsl,91.52,0,1,3,1,0,7.2,0
