customer_id,region,age,household_size,tenure_months,contract_type,internet_service,monthly_charges,autopay,paperless_billing,streaming_services,support_tickets,late_payments,satisfaction_score,churned,predicted_churn_probability,revenue_at_risk
CUST-00029,West,36,2,40,one-year,fiber,112.8,1,1,3,0,0,7.9,0,0.1476194398855235,16.65147281908705
CUST-00030,Midwest,60,3,32,one-year,fiber,95.27,0,1,2,2,0,7.8,0,0.35493826606769446,33.81496860826925
CUST-00031,South,26,4,33,one-year,fiber,125.47,0,1,4,0,1,9.5,0,0.23195315357415794,29.103162178949596
CUST-00032,South,40,2,17,one-year,fiber,92.28,1,1,1,1,0,7.0,0,0.31056635085432693,28.65906285683729
CUST-00033,Midwest,58,2,7,one-year,fiber,82.41,0,0,0,0,1,8.1,0,0.3588184484495642,29.570228336728583
CUST-00034,South,47,4,40,month-to-month,fiber,104.51,1,0,3,1,1,7.8,0,0.5338025963150391,55.78770934088474
CUST-00035,South,69,3,64,two-year,fiber,100.16,0,0,1,1,0,6.5,0,0.19628651073865186,19.660056915583368
CUST-00036,Midwest,19,2,5,one-year,none,59.98,1,1,2,1,0,8.3,0,0.1386772700492683,8.317862657555112
CUST-00037,Midwest,42,5,62,one-year,fiber,136.55,0,1,2,0,1,7.4,0,0.2819038361645351,38.49396882826728
CUST-00038,West,18,5,60,month-to-month,dsl,95.77,1,0,1,2,1,6.0,1,0.5120110097632332,49.03529440502484
CUST-00039,West,21,5,20,month-to-month,fiber,125.03,1,1,4,0,0,7.7,0,0.5119607296403248,64.0104500269298
CUST-00040,South,42,2,46,month-to-month,fiber,87.35,1,1,1,3,1,5.8,0,0.7832181189426055,68.4141026896366
CUST-00041,Northeast,33,5,12,month-to-month,none,100.81,0,1,3,0,0,8.6,0,0.4572795983163763,46.0983563062739
CUST-00042,West,27,2,55,month-to-month,fiber,105.33,1,0,0,1,0,7.5,0,0.39224201115122354,41.31485103455837
CUST-00043,West,75,1,51,month-to-month,dsl,99.59,0,0,4,0,0,9.9,0,0.21894785510630746,21.805016890037162
CUST-00044,Midwest,65,3,26,month-to-month,none,75.47,1,0,4,1,0,7.1,0,0.4181001968046172,31.554021852844457
CUST-00045,Midwest,44,5,5,month-to-month,dsl,75.93,1,1,0,1,0,8.0,0,0.44404416637232075,33.716273552650314
CUST-00046,South,75,1,70,month-to-month,fiber,143.29,1,0,3,3,1,6.1,1,0.7613539343884219,109.09440525851697
CUST-00047,Midwest,23,1,33,two-year,dsl,87.92,1,0,2,1,0,6.8,0,0.10446949611348333,9.184958098297454
CUST-00048,Midwest,73,1,65,month-to-month,fiber,87.88,0,1,0,1,1,8.5,0,0.5045243467646199,44.337599593674796
CUST-00049,South,70,5,49,month-to-month,fiber,107.93,0,1,3,0,0,8.0,0,0.5037774586271545,54.37270110962879
CUST-00050,Midwest,45,2,57,month-to-month,fiber,120.58,0,0,3,0,0,7.1,0,0.524878188451664,63.28981196350165
CUST-00051,South,60,3,55,month-to-month,none,80.32,1,1,4,1,0,7.9,0,0.27932704892055865,22.435548569299268
CUST-00052,Midwest,35,1,15,month-to-month,dsl,85.13,0,0,3,3,0,7.1,1,0.7266228870297483,61.85740637284247
CUST-00053,Northeast,75,5,27,one-year,fiber,118.92,1,1,3,1,0,7.1,0,0.2810729102515994,33.425190487120204
CUST-00054,Northeast,47,4,34,two-year,fiber,124.62,1,1,3,2,0,7.4,0,0.1994557813572514,24.85617947274067
CUST-00055,Midwest,31,3,36,month-to-month,dsl,128.97,1,0,3,1,0,8.5,0,0.33460694628575244,43.15425786247349
CUST-00056,West,24,5,4,one-year,none,83.39,0,0,2,1,0,7.8,0,0.2614603099068243,21.803175243130077
CUST-00057,Midwest,59,2,40,month-to-month,fiber,117.06,0,1,3,0,0,8.3,0,0.5266989465097784,61.655378678434666
CUST-00058,West,74,3,12,month-to-month,fiber,95.09,0,1,0,0,0,7.6,1,0.6821296221531353,64.86370577054164
CUST-00059,West,59,5,54,month-to-month,dsl,76.63,1,0,3,4,0,4.5,0,0.6899105489816661,52.867845368465076
CUST-00060,West,58,3,50,month-to-month,none,75.2,0,1,1,0,0,7.6,0,0.3675305586319576,27.63829800912321
CUST-00061,West,65,2,67,one-year,none,92.18,0,0,2,1,0,7.1,0,0.15042675332109567,13.8663381211386
CUST-00062,West,35,4,54,one-year,fiber,120.72,0,1,3,1,0,7.6,0,0.25352347643710343,30.605354075487128
CUST-00063,West,38,5,27,one-year,fiber,114.53,1,1,0,2,0,6.9,0,0.3443555545078662,39.439041657785914
CUST-00064,South,63,1,70,month-to-month,fiber,98.81,1,1,3,3,0,6.6,0,0.5843820398350632,57.7427893561026
CUST-00065,South,56,5,30,one-year,fiber,88.94,0,1,1,2,1,6.5,0,0.5617447868677229,49.96158134401527
CUST-00066,South,32,3,24,month-to-month,none,75.9,0,1,3,2,0,7.5,1,0.621147417901828,47.14508901874875
CUST-00067,Midwest,21,1,66,month-to-month,fiber,89.21,1,0,3,1,0,8.1,0,0.2634522895615202,23.50257875178322
CUST-00068,Midwest,63,5,27,month-to-month,dsl,83.5,0,1,0,0,1,6.8,0,0.6344674371397432,52.97803100116855
CUST-00069,Midwest,69,3,6,one-year,none,84.69,1,0,1,2,0,8.5,0,0.1903293896607627,16.118996010369994
CUST-00070,Northeast,42,2,34,two-year,none,102.49,1,1,4,0,1,7.5,0,0.10675565388693706,10.941386966872178
CUST-00071,South,67,1,58,month-to-month,dsl,88.8,1,1,1,0,1,6.8,1,0.4075408241663293,36.189625185970044
CUST-00072,Midwest,69,1,14,one-year,none,97.24,1,0,2,1,0,8.8,0,0.13837148787136147,13.45524348061119
CUST-00073,Northeast,60,3,34,one-year,fiber,97.82,1,1,0,1,0,7.4,0,0.21075362905023554,20.61591999369404
CUST-00074,Northeast,77,2,10,one-year,fiber,111.32,0,1,3,0,0,8.3,0,0.32075106074866216,35.70600808254107
CUST-00075,West,76,2,50,month-to-month,fiber,49.53,1,1,0,0,1,6.7,0,0.45494093275944886,22.533224399575502
CUST-00076,West,37,3,35,one-year,none,59.29,0,1,1,0,0,7.9,0,0.12802856357135006,7.590813534145345
CUST-00077,Midwest,71,5,24,one-year,none,73.24,1,1,2,4,0,6.1,0,0.39340765604567723,28.8131767287854
CUST-00078,Northeast,51,5,17,two-year,fiber,112.46,1,0,3,3,2,5.9,0,0.5526979560943961,62.15641214237578
CUST-00079,South,40,1,41,month-to-month,fiber,105.71,0,1,2,1,0,6.8,0,0.7026247316393002,74.27446038159042
CUST-00080,West,32,2,49,two-year,fiber,108.8,1,1,4,0,0,8.5,0,0.06550423990676671,7.126861301856218
CUST-00081,Midwest,59,2,68,month-to-month,fiber,86.44,0,0,2,1,0,8.2,0,0.3811638471825356,32.947802950458374
CUST-00082,Northeast,66,2,32,two-year,dsl,69.46,0,1,1,1,2,6.3,1,0.3332567364934672,23.14801291683623
CUST-00083,Northeast,30,5,12,month-to-month,fiber,90.94,1,1,0,2,0,4.7,0,0.8201376818279464,74.58332078543344
CUST-00084,West,47,2,60,month-to-month,dsl,112.84,1,0,3,1,3,7.9,0,0.5165684015620843,58.28957843226559
CUST-00085,Midwest,71,4,46,month-to-month,dsl,69.45,1,0,2,1,0,7.0,1,0.32470249930595596,22.550588576798642
CUST-00086,Midwest,77,5,51,month-to-month,fiber,103.37,0,1,3,0,1,7.1,0,0.6348829642950916,65.62785201918362
CUST-00087,West,44,2,8,month-to-month,fiber,117.72,0,1,1,1,0,6.8,0,0.8186960728275701,96.37690169326154
CUST-00088,South,71,3,23,month-to-month,none,66.25,1,0,1,1,0,6.4,1,0.5079317204179309,33.650476477687924
CUST-00089,Northeast,69,5,56,month-to-month,dsl,92.81,1,1,2,2,0,6.6,0,0.42547153598016474,39.48801325431909
CUST-00090,Northeast,34,2,60,month-to-month,fiber,113.42,1,0,1,0,3,7.1,0,0.6023076984641051,68.3137391597988
CUST-00091,West,45,4,32,one-year,fiber,115.27,1,1,4,0,1,8.6,0,0.18032207523196644,20.78572561198877
CUST-00092,Midwest,25,1,58,two-year,none,77.37,1,1,3,0,0,8.0,0,0.03659106543778868,2.8310507329217103
CUST-00093,Midwest,18,5,61,one-year,dsl,126.03,1,0,4,3,0,4.6,0,0.3302185296424714,41.61744129084067
CUST-00094,South,55,1,28,month-to-month,dsl,90.5,0,1,1,1,2,5.6,1,0.854803973951379,77.3597596425998
CUST-00095,Northeast,18,4,65,month-to-month,dsl,70.48,1,1,0,0,1,8.9,0,0.14850497929390918,10.46663094063472
CUST-00096,West,37,5,21,two-year,none,66.43,1,0,0,0,1,7.4,0,0.09766103687272899,6.487622679455388
CUST-00097,West,28,1,18,month-to-month,fiber,114.51,1,0,4,4,1,6.1,1,0.8760564454916541,100.31722357324931
CUST-00098,West,33,3,50,month-to-month,dsl,105.84,1,1,4,3,0,5.8,0,0.6143532020727169,65.02314290737637
CUST-00099,Midwest,32,5,46,two-year,fiber,107.9,1,0,3,0,0,9.2,0,0.045780786949293606,4.93974691182878
CUST-00100,Midwest,50,1,11,two-year,dsl,89.45,0,1,2,2,0,7.2,0,0.29522119181135137,26.407535607525382
CUST-00101,South,64,2,60,month-to-month,none,75.75,1,1,1,0,1,6.5,0,0.39716350341541584,30.08513538371775
CUST-00102,South,50,5,15,one-year,none,55.94,1,0,3,0,0,7.4,0,0.11858073845655966,6.633406509259947
CUST-00103,Northeast,63,1,58,month-to-month,fiber,95.52,1,0,2,2,1,5.4,0,0.6948781144901915,66.3747574961031
CUST-00104,Northeast,50,5,1,one-year,dsl,61.24,0,0,3,0,0,9.0,0,0.1311074608984809,8.029020905422971
CUST-00105,South,59,4,58,month-to-month,none,48.0,0,0,0,1,1,5.9,1,0.5645162585003153,27.096780408015135
CUST-00106,South,35,2,57,month-to-month,none,75.08,1,1,2,1,0,7.2,0,0.3102377731927573,23.292652011312217
CUST-00107,South,37,2,57,one-year,dsl,84.68,1,1,3,3,1,6.5,0,0.2707421997627218,22.926449475907283
CUST-00108,South,27,2,48,month-to-month,fiber,130.84,1,0,3,1,0,7.7,0,0.46955039244092034,61.435973346970016
CUST-00109,Northeast,49,3,34,one-year,fiber,91.68,0,1,0,2,0,6.7,0,0.4167969778734026,38.21194693143355
CUST-00110,Midwest,29,5,51,month-to-month,none,30.16,1,1,0,1,1,5.9,0,0.4066275607459041,12.263887232096469
CUST-00111,South,55,4,20,two-year,dsl,118.75,1,0,4,2,1,6.0,0,0.3390311934961249,40.259954227664835
CUST-00112,Midwest,61,1,57,one-year,dsl,85.71,0,1,1,4,0,5.1,1,0.5019033555133124,43.01813660104601
CUST-00113,Midwest,71,3,41,month-to-month,dsl,79.81,0,0,2,1,0,4.9,0,0.6863823960153328,54.78017902598371
CUST-00114,South,46,2,34,one-year,fiber,97.67,1,1,3,3,0,7.2,0,0.3463436647475362,33.82738573589186
CUST-00115,Midwest,77,3,37,month-to-month,fiber,75.72,0,0,2,4,1,5.9,0,0.8806232428679425,66.68079194996061
CUST-00116,South,46,3,41,month-to-month,dsl,101.87,1,1,4,1,0,6.6,0,0.4765532820733625,48.54648284481344
CUST-00117,South,60,3,3,month-to-month,fiber,124.2,1,1,4,0,1,9.0,1,0.614015710519659,76.26075124654164
CUST-00118,Midwest,76,4,11,two-year,dsl,69.27,1,0,1,0,1,8.1,0,0.10150631964610005,7.03134276188535
CUST-00119,Midwest,49,2,18,one-year,dsl,64.47,0,1,0,1,1,8.2,0,0.26499976628296623,17.084534932262834
CUST-00120,West,73,2,9,two-year,dsl,100.99,1,0,4,0,0,9.1,0,0.07033269526083058,7.10289889439128
CUST-00121,Northeast,52,1,32,two-year,fiber,129.38,1,0,3,0,1,8.1,0,0.14610135278659162,18.90259302352922
CUST-00122,Northeast,21,2,49,two-year,dsl,113.38,1,0,3,2,1,5.3,0,0.23399726112541896,26.5306094664
CUST-00123,Northeast,47,5,48,month-to-month,fiber,117.72,1,1,2,4,1,5.8,0,0.8250407214559241,97.12379372979139
CUST-00124,Northeast,65,4,34,two-year,fiber,135.31,1,1,2,2,2,7.3,0,0.37630737337201675,50.918150690967586
CUST-00125,West,56,4,62,one-year,fiber,96.85,1,1,0,1,0,7.3,0,0.14346021315740878,13.89412164429504
CUST-00126,Northeast,32,5,41,month-to-month,fiber,121.98,1,1,2,5,1,5.2,0,0.8961232373817064,109.30911249582056
CUST-00127,South,35,3,6,one-year,none,72.73,1,1,2,1,0,7.9,0,0.18353933599962316,13.348815907252593
CUST-00128,South,61,1,56,month-to-month,none,48.0,0,1,0,0,1,6.7,1,0.48316504687089895,23.19192224980315
CUST-00129,West,65,4,42,month-to-month,fiber,125.71,0,1,3,1,1,7.0,0,0.7685277075462812,96.611618115643
CUST-00130,Midwest,28,1,46,month-to-month,dsl,77.69,1,1,3,2,0,6.5,0,0.45768500853525196,35.55754831310372
CUST-00131,Northeast,45,1,41,month-to-month,fiber,139.16,0,1,4,3,0,6.5,1,0.8336669019599198,116.01308607674244
CUST-00132,West,26,4,40,month-to-month,dsl,69.76,1,1,0,2,0,6.5,1,0.46126025587168634,32.17751544960884
CUST-00133,West,35,5,7,two-year,none,78.01,1,0,1,0,1,7.6,0,0.12449854301911396,9.712131340921081
CUST-00134,Midwest,74,2,41,one-year,dsl,89.98,1,1,2,0,1,6.7,0,0.18757030718088089,16.877576240135664
CUST-00135,South,19,2,58,month-to-month,fiber,119.52,0,1,4,0,2,9.3,1,0.5232510680117259,62.538967648761485
CUST-00136,West,51,4,22,month-to-month,fiber,109.59,1,1,1,2,0,6.6,0,0.7167565148901707,78.5493464668138
CUST-00137,Northeast,45,2,44,month-to-month,fiber,122.81,0,0,4,1,0,6.3,0,0.6987239739809371,85.81029124459889
CUST-00138,Northeast,38,1,3,month-to-month,none,101.67,1,0,4,0,0,8.6,0,0.36159423248224537,36.76328561646989
CUST-00139,West,71,2,26,one-year,dsl,62.22,1,1,0,6,2,4.8,1,0.7679211817991093,47.78005593154058
CUST-00140,Northeast,71,5,32,month-to-month,fiber,92.7,1,1,1,1,0,8.0,0,0.44937946017033925,41.65747595779045
CUST-00141,Northeast,19,4,71,one-year,fiber,91.48,1,1,1,1,0,8.5,0,0.06839208710926745,6.256508128755787
CUST-00142,Northeast,35,2,16,one-year,none,78.82,1,1,2,0,1,9.2,0,0.10614573991642184,8.36640722021237
CUST-00143,South,32,5,20,one-year,fiber,107.31,0,1,4,0,0,7.2,0,0.3485945135755819,37.4076772517957
CUST-00144,Midwest,21,2,30,two-year,dsl,104.0,0,1,1,1,0,7.8,0,0.15802030394857122,16.434111610651406
CUST-00145,South,48,4,72,month-to-month,dsl,88.4,0,0,3,3,1,4.5,0,0.7806817502126111,69.01226671879482
CUST-00146,South,41,1,62,two-year,fiber,108.68,1,0,0,2,0,7.1,0,0.1379276361923534,14.989975501384968
CUST-00147,Northeast,41,5,3,one-year,fiber,91.87,0,1,2,1,0,8.3,0,0.3383729301130334,31.08632108948438
CUST-00148,South,60,2,17,one-year,fiber,97.28,0,0,1,4,2,4.7,1,0.8856025810460372,86.15141908415849
CUST-00149,West,76,3,60,one-year,fiber,107.81,0,1,4,2,1,8.9,0,0.26065938816132783,28.101688637672755
CUST-00150,South,57,3,5,two-year,dsl,102.85,1,1,3,3,1,6.6,1,0.41956656284826843,43.15242098894441
CUST-00151,South,55,3,62,two-year,dsl,68.36,0,0,1,0,0,6.6,0,0.0862551770686419,5.89640390441236
CUST-00152,West,46,3,21,month-to-month,fiber,78.32,1,1,3,0,1,8.5,0,0.45589005495876367,35.705309104370365
CUST-00153,Northeast,42,4,67,one-year,dsl,65.57,0,0,1,0,1,9.9,0,0.04484399834089961,2.940420971212787
CUST-00154,Northeast,48,5,22,one-year,fiber,115.33,1,1,2,1,0,5.9,0,0.37749046487645815,43.53597531420192
CUST-00155,West,33,2,32,month-to-month,fiber,95.97,0,0,2,0,1,8.2,0,0.5761629851952982,55.29436168919277
CUST-00156,South,49,4,48,two-year,dsl,106.66,1,1,4,3,0,5.9,0,0.2214109747329887,23.615694565020576
CUST-00157,Northeast,40,3,10,month-to-month,dsl,75.89,0,1,1,0,0,7.8,0,0.5022119034356809,38.11286135173383
CUST-00158,South,40,3,41,one-year,dsl,45.9,1,1,0,1,2,6.2,0,0.25939730054045834,11.906336094807038
CUST-00159,Northeast,70,3,37,month-to-month,fiber,109.11,1,0,0,2,0,7.8,0,0.5267699951525957,57.47587417109972
CUST-00160,South,22,5,57,month-to-month,dsl,111.38,0,0,4,2,1,6.2,0,0.6833369617142884,76.11007079573744
CUST-00161,Northeast,67,4,72,two-year,fiber,92.51,1,1,1,2,0,8.4,0,0.06511298511137356,6.023602252653168
CUST-00162,Midwest,27,1,48,month-to-month,none,69.77,0,0,0,1,0,6.4,1,0.4990008930896052,34.81529231086176
CUST-00163,West,40,1,30,month-to-month,dsl,89.02,1,0,2,3,0,6.3,0,0.6209296825869614,55.275160343891294
CUST-00164,Midwest,61,4,30,month-to-month,none,72.26,1,1,4,2,0,4.9,1,0.6688429986587394,48.33059508308052
CUST-00165,Northeast,72,3,31,month-to-month,fiber,135.44,0,0,4,0,1,9.9,0,0.5073308423113272,68.71288928264616
CUST-00166,West,66,3,59,one-year,fiber,119.5,1,0,4,0,0,10.0,0,0.052931917418720435,6.325364131537092
CUST-00167,Midwest,61,5,24,two-year,dsl,95.42,0,0,3,0,0,10.0,0,0.0584593446485224,5.5781906663620076
CUST-00168,West,41,2,13,month-to-month,fiber,112.12,1,1,4,1,0,8.9,0,0.503741834113812,56.4795344408406
CUST-00169,West,39,2,25,one-year,dsl,100.8,0,1,3,2,0,6.6,0,0.39772199004872016,40.09037659691099
CUST-00170,South,37,4,2,month-to-month,fiber,108.25,1,1,0,2,0,7.0,0,0.768434113743656,83.18299281275077
CUST-00171,West,68,4,8,one-year,none,68.39,0,1,2,0,0,8.5,0,0.1824315433303218,12.476493248360708
CUST-00172,West,54,5,7,month-to-month,fiber,104.87,1,1,2,2,0,7.3,0,0.7100389568294871,74.46178540270832
CUST-00173,Midwest,21,5,56,month-to-month,none,90.44,0,1,2,4,0,4.7,0,0.8015071490654231,72.48830656147686
CUST-00174,Midwest,19,2,53,month-to-month,fiber,133.87,1,0,4,0,0,7.1,0,0.4144786767375271,55.486260454852754
CUST-00175,South,25,1,51,one-year,fiber,133.01,0,1,4,1,0,6.4,0,0.40557175747242813,53.945099461407665
CUST-00176,West,52,4,34,month-to-month,dsl,96.43,0,0,2,1,0,6.9,0,0.5655078287969746,54.531919930892265
CUST-00177,Northeast,76,1,52,month-to-month,fiber,87.4,0,1,0,1,0,7.0,0,0.5985952647201076,52.31722613653741
CUST-00178,South,46,3,12,one-year,none,70.35,1,1,1,1,0,7.5,0,0.19126470798160253,13.455472206505737
CUST-00179,Northeast,32,2,65,one-year,none,76.37,0,1,0,2,1,7.1,0,0.22506092941987443,17.18790317979581
CUST-00180,Northeast,44,2,37,month-to-month,none,69.21,1,1,2,1,0,6.3,0,0.4348511061757722,30.096045058425194
CUST-00181,West,60,5,68,one-year,none,80.77,1,1,1,4,0,5.5,0,0.26930017608122186,21.751375222080288
CUST-00182,Midwest,18,2,11,two-year,dsl,107.18,0,1,0,5,1,4.5,0,0.7850207573770107,84.13852477566802
CUST-00183,South,57,5,36,month-to-month,fiber,94.15,0,1,0,1,0,8.0,0,0.5990738053449179,56.40279877322403
CUST-00184,West,74,2,51,one-year,dsl,73.31,0,1,2,1,0,7.8,0,0.15115334789374282,11.081051934090286
CUST-00185,Northeast,74,2,36,month-to-month,fiber,82.96,0,1,0,2,0,7.1,1,0.702799356577992,58.30423462171021
CUST-00186,West,28,2,33,one-year,dsl,78.77,1,1,0,0,1,7.4,0,0.14744384688199358,11.614151818894634
CUST-00187,South,76,4,12,month-to-month,fiber,89.27,1,0,1,0,0,8.1,0,0.4794495408415989,42.80046051092953
CUST-00188,Northeast,24,4,28,one-year,dsl,75.51,0,0,3,1,0,7.0,0,0.20624046854323608,15.573217779699757
CUST-00189,South,46,1,18,month-to-month,fiber,97.4,0,1,3,0,3,6.4,1,0.8977254574287729,87.43845955356248
CUST-00190,South,41,2,22,month-to-month,fiber,84.67,1,0,1,1,0,7.9,0,0.49318040303685245,41.7575847251303
CUST-00191,West,58,5,50,two-year,fiber,133.68,0,0,3,0,1,7.4,0,0.2195100523615429,29.344103799691055
CUST-00192,West,64,3,46,month-to-month,fiber,90.17,1,0,0,1,0,7.5,0,0.42127871756336277,37.98670196268842
CUST-00193,Northeast,54,1,44,two-year,fiber,134.02,1,1,3,2,1,6.9,0,0.2921454038808848,39.15332702811618
CUST-00194,South,63,2,27,two-year,fiber,85.36,0,1,0,1,2,6.1,1,0.5360200360209744,45.754670274750374
CUST-00195,South,76,3,70,two-year,fiber,89.71,1,1,0,1,1,7.1,0,0.1315764060901053,11.803719390343344
CUST-00196,Midwest,48,2,7,month-to-month,dsl,113.63,1,1,4,0,1,7.3,0,0.6062112616379485,68.88378565992008
CUST-00197,Midwest,52,3,25,one-year,fiber,78.54,1,1,2,1,2,7.1,0,0.3824948971628279,30.041149223168507
CUST-00198,West,50,3,9,month-to-month,dsl,115.38,1,1,2,3,2,4.3,1,0.9328640025793719,107.63384861760792
CUST-00199,South,34,3,25,month-to-month,fiber,100.75,1,1,1,1,2,6.4,1,0.7969438440096396,80.29209228397119
CUST-00200,South,45,3,70,two-year,dsl,102.96,1,1,3,0,0,9.3,0,0.02436520264286336,2.5086412641092113
CUST-00201,South,51,1,27,one-year,fiber,109.65,1,1,3,0,0,8.8,1,0.15147712962996632,16.609467263925808
CUST-00202,Northeast,19,3,66,month-to-month,dsl,105.26,1,1,3,1,1,6.9,0,0.37744822599089944,39.730200267802076
CUST-00203,South,41,1,36,month-to-month,dsl,89.06,1,0,1,0,0,7.0,0,0.3635027436209063,32.37355434687792
CUST-00204,Northeast,34,4,51,one-year,dsl,92.93,1,0,3,2,0,7.4,0,0.11388577629704928,10.58340519128479
CUST-00205,West,57,3,33,one-year,fiber,91.97,0,1,3,2,0,8.0,0,0.32577552803922954,29.96157531376794
CUST-00206,South,41,4,20,month-to-month,fiber,87.55,1,1,2,1,1,8.7,0,0.5385567828391139,47.15064633756442
CUST-00207,South,26,2,56,two-year,fiber,88.48,0,1,1,1,0,7.2,0,0.16978744428596695,15.022793070422356
CUST-00208,Midwest,51,2,70,month-to-month,fiber,118.11,0,0,3,2,1,5.5,1,0.7852082715667067,92.74094895474373
CUST-00209,Midwest,45,4,19,month-to-month,fiber,99.06,0,1,2,0,0,8.3,0,0.5708005906878743,56.54350651354083
CUST-00210,West,57,1,57,one-year,dsl,67.35,0,1,1,3,0,6.9,0,0.2575768068591757,17.347797941965485
CUST-00211,Midwest,62,3,19,two-year,fiber,136.75,1,1,4,0,2,8.0,0,0.2839517212681447,38.83039788341879
CUST-00212,West,77,2,52,month-to-month,dsl,83.56,0,1,2,1,0,6.7,0,0.5276823269458426,44.09313523959461
CUST-00213,West,55,2,57,month-to-month,fiber,99.52,1,1,2,1,0,6.4,0,0.5102038495048682,50.77548710272448
CUST-00214,Northeast,48,3,33,month-to-month,fiber,114.13,1,1,1,0,0,8.7,0,0.360431578074873,41.136056005685255
CUST-00215,West,34,3,54,two-year,fiber,123.96,0,1,3,1,0,8.5,0,0.13907599041357932,17.23985977166729
CUST-00216,West,58,2,20,month-to-month,fiber,101.81,0,1,4,0,0,7.5,1,0.6554796693936299,66.73438514096546
CUST-00217,Midwest,42,1,6,month-to-month,dsl,77.36,1,1,3,0,0,9.6,0,0.265364665555162,20.528610527347332
CUST-00218,Northeast,75,3,7,two-year,dsl,72.02,1,1,2,0,1,8.4,0,0.10621291695794907,7.649454279311492
CUST-00219,Northeast,59,2,33,month-to-month,dsl,92.35,0,0,3,0,0,7.7,0,0.4218397285089676,38.95689892780316
CUST-00220,Northeast,34,1,65,one-year,fiber,119.11,0,1,1,0,1,6.9,0,0.2810024532933554,33.47020221177156
CUST-00221,Midwest,74,5,10,month-to-month,fiber,110.39,0,1,0,1,1,5.5,1,0.9044784408747403,99.84537508816258
CUST-00222,Midwest,45,3,33,one-year,dsl,106.85,0,0,3,1,1,6.9,0,0.34126417584410396,36.464077188942504
